,Player,2021/22,2021/22(*)
0,Stephen Curry,"$45,780,966","$49,928,610"
1,John Wall,"$44,310,840","$48,325,294"
2,James Harden,"$44,310,840","$48,325,294"
3,Russell Westbrook,"$44,211,146","$48,216,568"
4,Kevin Durant,"$42,018,900","$45,825,710"
5,LeBron James,"$41,180,544","$44,911,401"
6,Paul George,"$39,344,970","$42,909,529"
7,Kawhi Leonard,"$39,344,900","$42,909,452"
8,Giannis Antetokounmpo,"$39,344,900","$42,909,452"
9,Damian Lillard,"$39,344,900","$42,909,452"
10,Klay Thompson,"$37,980,720","$41,421,681"
11,Jimmy Butler,"$36,016,200","$39,279,180"
12,Tobias Harris,"$35,995,950","$39,257,095"
13,Khris Middleton,"$35,500,000","$38,716,214"
14,Anthony Davis,"$35,361,360","$38,565,013"
15,Rudy Gobert,"$35,344,828","$38,546,983"
16,Kyrie Irving,"$35,328,700","$38,529,394"
17,Kemba Walker,"$34,967,442","$38,135,407"
18,Bradley Beal,"$33,724,200","$36,779,530"
19,Ben Simmons,"$33,003,936","$35,994,012"
20,Pascal Siakam,"$33,003,936","$35,994,012"
21,Blake Griffin,"$32,405,817","$35,341,704"
22,Karl-Anthony Towns,"$31,650,600","$34,518,067"
23,Devin Booker,"$31,650,600","$34,518,067"
24,Kristaps Porzingis,"$31,650,600","$34,518,067"
25,Andrew Wiggins,"$31,579,390","$34,440,406"
26,Joel Embiid,"$31,579,390","$34,440,406"
27,Kevin Love,"$31,258,256","$34,090,178"
28,Jrue Holiday,"$31,171,333","$33,995,380"
29,Nikola Jokic,"$31,044,906","$33,857,499"
30,CJ McCollum,"$30,864,198","$33,660,419"
31,Chris Paul,"$30,800,000","$33,590,405"
32,D'Angelo Russell,"$30,013,500","$32,732,650"
33,Gordon Hayward,"$29,925,000","$32,636,132"
34,Jamal Murray,"$29,467,800","$32,137,511"
35,Brandon Ingram,"$29,467,800","$32,137,511"
36,Jayson Tatum,"$28,103,500","$30,649,609"
37,Bam Adebayo,"$28,103,500","$30,649,609"
38,De'Aaron Fox,"$28,103,500","$30,649,609"
39,Donovan Mitchell,"$28,103,500","$30,649,609"
40,Al Horford,"$27,000,000","$29,446,134"
41,Kyle Lowry,"$26,984,128","$29,428,824"
42,Jaylen Brown,"$26,758,928","$29,183,222"
43,DeMar DeRozan,"$26,000,000","$28,355,537"
44,Draymond Green,"$24,026,712","$26,203,473"
45,Nikola Vucevic,"$24,000,000","$26,174,341"
46,Buddy Hield,"$23,073,234","$25,163,613"
47,John Collins,"$23,000,000","$25,083,744"
48,Malcolm Brogdon,"$21,700,000","$23,665,967"
49,Tim Hardaway Jr,"$21,306,816","$23,237,161"
50,Mike Conley,"$21,000,000","$22,902,549"
51,Gary Harris,"$20,932,143","$22,828,544"
52,Danilo Gallinari,"$20,475,000","$22,329,985"
53,Harrison Barnes,"$20,284,091","$22,121,780"
54,Jerami Grant,"$20,002,500","$21,814,678"
55,Jarrett Allen,"$20,000,000","$21,811,951"
56,Julius Randle,"$19,800,000","$21,593,832"
57,Fred VanVleet,"$19,675,926","$21,458,517"
58,Zach LaVine,"$19,500,000","$21,266,652"
59,Goran Dragic,"$19,348,907","$21,101,870"
60,Spencer Dinwiddie,"$19,314,284","$21,064,111"
61,Bojan Bogdanovic,"$18,700,000","$20,394,174"
62,Lonzo Ball,"$18,604,651","$20,290,187"
63,Domantas Sabonis,"$18,500,000","$20,176,055"
64,Eric Gordon,"$18,218,818","$19,869,398"
65,Eric Bledsoe,"$18,125,000","$19,767,081"
66,Bogdan Bogdanovic,"$18,000,000","$19,630,756"
67,Myles Turner,"$18,000,000","$19,630,756"
68,Terry Rozier,"$17,905,263","$19,527,436"
69,Ricky Rubio,"$17,800,000","$19,412,636"
70,Clint Capela,"$17,603,448","$19,198,277"
71,Caris LeVert,"$17,500,000","$19,085,457"
72,Jonathan Isaac,"$17,400,000","$18,976,397"
73,Joe Harris,"$17,357,143","$18,929,658"
74,Evan Fournier,"$17,142,857","$18,695,958"
75,Steven Adams,"$17,073,171","$18,619,958"
76,Markelle Fultz,"$16,500,000","$17,994,860"
77,Aaron Gordon,"$16,409,091","$17,895,714"
78,Gary Trent Jr,"$16,225,000","$17,694,945"
79,OG Anunoby,"$16,071,429","$17,527,461"
80,Davis Bertans,"$16,000,000","$17,449,561"
81,Lauri Markkanen,"$15,690,909","$17,112,467"
82,Derrick White,"$15,678,571","$17,099,011"
83,Duncan Robinson,"$15,650,000","$17,067,852"
84,Marcus Morris,"$15,627,907","$17,043,757"
85,Will Barton,"$15,625,000","$17,040,587"
86,Norman Powell,"$15,517,242","$16,923,066"
87,Dejounte Murray,"$15,428,880","$16,826,699"
88,Malik Beasley,"$14,491,964","$15,804,900"
89,Patrick Beverley,"$14,320,987","$15,618,433"
90,Thaddeus Young,"$14,190,000","$15,475,579"
91,Jonas Valanciunas,"$14,000,000","$15,268,366"
92,Marcus Smart,"$13,839,285","$15,093,090"
93,Doug McDermott,"$13,750,000","$14,995,716"
94,Christian Wood,"$13,666,667","$14,904,833"
95,Derrick Rose,"$13,445,120","$14,663,215"
96,Luke Kennard,"$13,347,727","$14,556,998"
97,Taurean Prince,"$13,334,375","$14,542,437"
98,Brook Lopez,"$13,302,325","$14,507,483"
99,Kentavious Caldwell-Pope,"$13,038,862","$14,220,151"
100,Joe Ingles,"$13,036,364","$14,217,427"
101,Kyle Kuzma,"$13,000,000","$14,177,768"
102,Robert Covington,"$12,975,471","$14,151,017"
103,TJ Warren,"$12,940,000","$14,112,332"
104,Deandre Ayton,"$12,632,950","$13,777,464"
105,Terrence Ross,"$12,500,000","$13,632,469"
106,Jordan Clarkson,"$12,420,000","$13,545,221"
107,Dillon Brooks,"$12,200,000","$13,305,290"
108,Kelly Olynyk,"$12,195,122","$13,299,970"
109,Nicolas Batum,"$12,026,998","$13,116,613"
110,Kelly Oubre,"$12,000,000","$13,087,170"
111,Jusuf Nurkic,"$12,000,000","$13,087,170"
112,Josh Hart,"$12,000,000","$13,087,170"
113,Josh Richardson,"$11,615,328","$12,667,648"
114,Marvin Bagley,"$11,312,114","$12,336,964"
115,DeAndre Jordan,"$11,109,327","$12,115,804"
116,Dwight Powell,"$11,080,125","$12,083,957"
117,Devonte Graham,"$11,000,000","$11,996,573"
118,Zion Williamson,"$10,733,400","$11,705,820"
119,Larry Nance Jr,"$10,690,909","$11,659,479"
120,Jeremy Lamb,"$10,500,000","$11,451,274"
121,Reggie Jackson,"$10,384,500","$11,325,310"
122,Richaun Holmes,"$10,384,500","$11,325,310"
123,Al-Farouq Aminu,"$10,335,621","$11,272,002"
124,Anthony Edwards,"$10,245,480","$11,173,695"
125,Luka Doncic,"$10,174,391","$11,096,166"
126,Cade Cunningham,"$10,050,120","$10,960,636"
127,Danny Green,"$10,000,000","$10,905,975"
128,Tomas Satoransky,"$10,000,000","$10,905,975"
129,Tristan Thompson,"$9,946,611","$10,847,749"
130,Kyle Anderson,"$9,937,150","$10,837,431"
131,Montrezl Harrell,"$9,720,900","$10,601,590"
132,Derrick Jones,"$9,720,900","$10,601,590"
133,Serge Ibaka,"$9,720,900","$10,601,590"
134,Derrick Favors,"$9,720,900","$10,601,590"
135,Jae Crowder,"$9,720,900","$10,601,590"
136,Ja Morant,"$9,603,360","$10,473,401"
137,Reggie Bullock,"$9,536,000","$10,399,938"
138,Alec Burks,"$9,536,000","$10,399,938"
139,Talen Horton-Tucker,"$9,500,000","$10,360,677"
140,Mason Plumlee,"$9,248,333","$10,086,209"
141,Jaren Jackson Jr,"$9,180,560","$10,012,296"
142,James Wiseman,"$9,166,800","$9,997,289"
143,Jalen Green,"$8,992,080","$9,806,740"
144,De'Anthony Melton,"$8,805,976","$9,603,776"
145,Nerlens Noel,"$8,800,000","$9,597,258"
146,Royce O'Neale,"$8,800,000","$9,597,258"
147,Maxi Kleber,"$8,750,000","$9,542,728"
148,Jakob Poeltl,"$8,750,000","$9,542,728"
149,Thomas Bryant,"$8,666,667","$9,451,846"
150,RJ Barrett,"$8,623,920","$9,405,226"
151,Alex Caruso,"$8,600,000","$9,379,139"
152,Delon Wright,"$8,526,316","$9,298,779"
153,Dario Saric,"$8,510,000","$9,280,985"
154,Monte Morris,"$8,449,074","$9,214,539"
155,Tyus Jones,"$8,376,286","$9,135,157"
156,Trae Young,"$8,326,471","$9,080,829"
157,Daniel Theis,"$8,280,351","$9,030,530"
158,LaMelo Ball,"$8,231,760","$8,977,537"
159,Seth Curry,"$8,207,518","$8,951,099"
160,JaMychal Green,"$8,200,000","$8,942,900"
161,Cedi Osman,"$8,133,334","$8,870,194"
162,Evan Mobley,"$8,075,160","$8,806,749"
163,De'Andre Hunter,"$7,775,400","$8,479,832"
164,DJ Augustin,"$7,622,467","$8,313,044"
165,Mo Bamba,"$7,568,743","$8,254,452"
166,Ivica Zubac,"$7,518,518","$8,199,677"
167,Rajon Rondo,"$7,500,000","$8,179,481"
168,TJ McConnell,"$7,500,000","$8,179,481"
169,Patrick Williams,"$7,422,000","$8,094,415"
170,Cory Joseph,"$7,310,000","$7,972,268"
171,Scottie Barnes,"$7,280,400","$7,939,986"
172,Darius Garland,"$7,040,880","$7,678,766"
173,Chris Boucher,"$7,020,000","$7,655,995"
174,PJ Tucker,"$7,000,000","$7,634,183"
175,Zach Collins,"$7,000,000","$7,634,183"
176,Wendell Carter,"$6,920,027","$7,546,964"
177,Juan Hernangomez,"$6,803,190","$7,419,542"
178,Isaac Okoro,"$6,720,720","$7,329,600"
179,Jalen Suggs,"$6,592,920","$7,190,222"
180,Cameron Payne,"$6,500,000","$7,088,884"
181,Joakim Noah,"$6,431,666","$7,014,359"
182,Jarrett Culver,"$6,395,160","$6,974,546"
183,Khem Birch,"$6,350,000","$6,925,294"
184,Collin Sexton,"$6,349,671","$6,924,935"
185,Onyeka Okongwu,"$6,104,280","$6,657,312"
186,Justin Holiday,"$6,006,420","$6,550,587"
187,Josh Giddey,"$5,988,000","$6,530,498"
188,Patrick Mills,"$5,890,000","$6,423,619"
189,Dennis Schroeder,"$5,890,000","$6,423,619"
190,Rudy Gay,"$5,890,000","$6,423,619"
191,Kevin Knox,"$5,845,978","$6,375,609"
192,Coby White,"$5,837,760","$6,366,646"
193,Timofey Mozgov,"$5,573,333","$6,078,263"
194,Killian Hayes,"$5,572,680","$6,077,551"
195,Mikal Bridges,"$5,557,725","$6,061,241"
196,Shai Gilgeous-Alexander,"$5,495,532","$5,993,413"
197,Jonathan Kuminga,"$5,466,360","$5,961,598"
198,Miles Bridges,"$5,421,493","$5,912,667"
199,Jaxson Hayes,"$5,348,280","$5,832,821"
200,Pat Connaughton,"$5,333,334","$5,816,521"
201,Kris Dunn,"$5,317,430","$5,799,175"
202,George Hill,"$5,275,491","$5,753,437"
203,Michael Porter,"$5,258,735","$5,735,163"
204,Dewayne Dedmon,"$5,256,308","$5,732,516"
205,Ryan Anderson,"$5,214,583","$5,687,011"
206,Hamidou Diallo,"$5,200,000","$5,671,107"
207,Kevon Looney,"$5,178,572","$5,647,738"
208,Troy Brown,"$5,170,564","$5,639,004"
209,Obi Toppin,"$5,105,160","$5,567,675"
210,Franz Wagner,"$5,007,840","$5,461,538"
211,Josh Jackson,"$5,005,350","$5,458,822"
212,Louis Williams,"$5,000,000","$5,452,987"
213,Kendrick Nunn,"$5,000,000","$5,452,987"
214,Luol Deng,"$5,000,000","$5,452,987"
215,Robin Lopez,"$5,000,000","$5,452,987"
216,JaVale McGee,"$5,000,000","$5,452,987"
217,Danuel House,"$4,997,424","$5,450,176"
218,Rui Hachimura,"$4,916,160","$5,361,552"
219,Garrett Temple,"$4,910,000","$5,354,834"
220,Taj Gibson,"$4,910,000","$5,354,834"
221,Torrey Craig,"$4,878,049","$5,319,988"
222,Bruce Brown,"$4,736,102","$5,165,181"
223,Deni Avdija,"$4,692,840","$5,117,999"
224,Donte DiVincenzo,"$4,675,830","$5,099,448"
225,Cam Reddish,"$4,670,160","$5,093,265"
226,David Nwaba,"$4,650,000","$5,071,278"
227,Furkan Korkmaz,"$4,629,630","$5,049,063"
228,Davion Mitchell,"$4,603,200","$5,020,238"
229,Jeff Green,"$4,500,000","$4,907,689"
230,Bryn Forbes,"$4,500,000","$4,907,689"
231,Ishmael Smith,"$4,500,000","$4,907,689"
232,Jalen Smith,"$4,458,000","$4,861,884"
233,Lonnie Walker,"$4,447,896","$4,850,864"
234,Cameron Johnson,"$4,437,000","$4,838,981"
235,Ziaire Williams,"$4,373,040","$4,769,226"
236,Bobby Portis,"$4,347,600","$4,741,482"
237,Moe Harkless,"$4,347,600","$4,741,482"
238,Kevin Huerter,"$4,253,357","$4,638,700"
239,Devin Vassell,"$4,235,160","$4,618,855"
240,Chandler Hutchison,"$4,224,186","$4,606,886"
241,Willie Cauley-Stein,"$4,220,083","$4,602,412"
242,PJ Washington,"$4,215,120","$4,596,999"
243,James Bouknight,"$4,154,400","$4,530,778"
244,Jevon Carter,"$4,107,149","$4,479,246"
245,Josh Okogie,"$4,087,904","$4,458,258"
246,Grayson Allen,"$4,054,695","$4,422,040"
247,Jarred Vanderbilt,"$4,050,000","$4,416,920"
248,Tyrese Haliburton,"$4,023,600","$4,388,128"
249,Tyler Herro,"$4,004,280","$4,367,058"
250,Gorgui Dieng,"$4,000,000","$4,362,390"
251,Dorian Finney-Smith,"$4,000,000","$4,362,390"
252,Terence Davis,"$4,000,000","$4,362,390"
253,Aaron Holiday,"$3,980,551","$4,341,179"
254,Josh Primo,"$3,946,800","$4,304,370"
255,Jake Layman,"$3,940,184","$4,297,155"
256,Anfernee Simons,"$3,938,818","$4,295,665"
257,Justise Winslow,"$3,902,439","$4,255,990"
258,Kira Lewis,"$3,822,240","$4,168,525"
259,Romeo Langford,"$3,804,360","$4,149,025"
260,Sekou Doumbouya,"$3,799,131","$4,143,322"
261,Landry Shamet,"$3,768,342","$4,109,744"
262,Chris Duarte,"$3,749,400","$4,089,086"
263,Alex Len,"$3,732,000","$4,070,110"
264,Robert Williams,"$3,661,976","$3,993,742"
265,Aaron Nesmith,"$3,631,200","$3,960,177"
266,Moses Moody,"$3,562,200","$3,884,926"
267,Boban Marjanovic,"$3,500,000","$3,817,091"
268,Mike Muscala,"$3,500,000","$3,817,091"
269,Cole Anthony,"$3,449,400","$3,761,907"
270,Corey Kispert,"$3,383,640","$3,690,189"
271,Luka Samanic,"$3,355,239","$3,659,215"
272,Michael Carter-Williams,"$3,300,000","$3,598,972"
273,Georges Niang,"$3,300,000","$3,598,972"
274,Isaiah Stewart,"$3,277,080","$3,573,975"
275,Chuma Okeke,"$3,277,080","$3,573,975"
276,Nickeil Alexander-Walker,"$3,261,480","$3,556,962"
277,Alperen Sengun,"$3,214,680","$3,505,922"
278,Jon Leuer,"$3,169,348","$3,456,483"
279,Trey Burke,"$3,150,000","$3,435,382"
280,Aleksej Pokusevski,"$3,113,160","$3,395,204"
281,Facundo Campazzo,"$3,100,000","$3,380,852"
282,Goga Bitadze,"$3,098,400","$3,379,107"
283,Trey Murphy,"$3,053,760","$3,330,423"
284,Sterling Brown,"$3,000,000","$3,271,792"
285,Frank Jackson,"$3,000,000","$3,271,792"
286,Josh Green,"$2,957,520","$3,225,464"
287,Tre Mann,"$2,901,240","$3,164,085"
288,Andrew Nicholson,"$2,844,429","$3,102,127"
289,Matisse Thybulle,"$2,840,160","$3,097,471"
290,Saddiq Bey,"$2,824,320","$3,080,196"
291,Kai Jones,"$2,770,560","$3,021,566"
292,Brandon Clarke,"$2,726,880","$2,973,928"
293,Precious Achiuwa,"$2,711,280","$2,956,915"
294,Marc Gasol,"$2,692,991","$2,936,969"
295,Jalen Johnson,"$2,659,680","$2,900,640"
296,LaMarcus Aldridge,"$2,641,691","$2,881,021"
297,James Johnson,"$2,641,691","$2,881,021"
298,Ed Davis,"$2,641,691","$2,881,021"
299,Andre Iguodala,"$2,641,691","$2,881,021"
300,Enes Kanter,"$2,641,691","$2,881,021"
301,Avery Bradley,"$2,641,691","$2,881,021"
302,Carmelo Anthony,"$2,641,691","$2,881,021"
303,Wayne Ellington,"$2,641,691","$2,881,021"
304,Trevor Ariza,"$2,641,691","$2,881,021"
305,Dwight Howard,"$2,641,691","$2,881,021"
306,Udonis Haslem,"$2,641,691","$2,881,021"
307,Markieff Morris,"$2,641,691","$2,881,021"
308,E'Twaun Moore,"$2,641,691","$2,881,021"
309,Paul Millsap,"$2,641,691","$2,881,021"
310,Grant Williams,"$2,617,800","$2,854,966"
311,Tyrese Maxey,"$2,602,920","$2,838,738"
312,Keon Johnson,"$2,553,240","$2,784,557"
313,Darius Bazley,"$2,513,040","$2,740,715"
314,Trey Lyles,"$2,500,000","$2,726,493"
